as_of,symbol,sec_type,underlying,expiry,right,strike,quantity,avg_cost,market_price,market_value,unrealized_pnl,realized_pnl,delta,gamma,theta,vega,iv,spx_delta,underlying_price,greeks_source,bid,ask,mid,spread,bid_ask_source,bid_ask_available
2026-03-08T21:49:57.602175+00:00,EXK6 P6050,FOP,MES,2026-05-29,P,6050.0,-1.0,419.59,95.2775421,-476.39,-56.8,0.0,0.8997289129516061,-0.0013845204956490372,3.786908763269139,-43.12789389258455,0.2837880657736769,0.8997289129516061,6792.25,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,EWJ6 P5900,FOP,ES,2026-04-30,P,5900.0,1.0,1551.42,57.37712095,2868.86,1317.44,0.0,-6.181474199122634,0.011489345032860252,-45.2162932236945,273.6685613593181,0.33355573283184164,-6.181474199122634,6790.69970703125,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,E2AH6 C7070,FOP,ES,2026-03-09,C,7070.0,-1.0,548.58,0.01254835,-0.63,547.95,0.0,-0.08769039636166781,-0.002635427488160488,2.560639772124762,-2.171315181860667,0.16172072345248134,-0.08769039636166781,6740.35009765625,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,EWJ6 P6700,FOP,ES,2026-04-30,P,6700.0,-1.0,5698.58,192.5437317,-9627.19,-3928.61,0.0,20.655338265823055,-0.032530539778320655,-24.015590749127114,-511.7837887823953,0.22608676563174757,20.655338265823055,6790.69970703125,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,E3AH6 C7070,FOP,ES,2026-03-16,C,7070.0,1.0,151.42,0.82476775,41.24,-110.18,0.0,0.5387600417929941,0.010503238732343274,-10.554698780935112,19.540101650245845,0.1339000651256359,0.5387600417929941,6740.35009765625,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,E2AH6 C6910,FOP,ES,2026-03-09,C,6910.0,2.0,653.92,0.91059465,91.06,-1216.78,0.0,3.7539602045698497,0.0925505251020008,-98.14164065053887,55.197872066258924,0.1444059424765041,3.7539602045698497,6740.35009765625,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,EXH6 C7100,FOP,MES,2026-03-31,C,7100.0,3.0,300.84666665,20.21268465,303.19,-599.35,0.0,2.139565574031911,0.012445539520381245,-19.745604567386863,62.28978647705276,0.15760746854254631,2.139565574031911,6792.25,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,E4CH6 C6950,FOP,ES,2026-03-25,C,6950.0,-1.0,4248.58,55.54927825,-2777.46,1471.12,0.0,-15.873498048577684,-0.05948100516823673,237.3084876300254,-277.53689614069117,0.1906590147799646,-15.873498048577684,6790.69970703125,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,E4BH6 C6980,FOP,ES,2026-03-24,C,6980.0,1.0,2796.42,40.0826988,2004.13,-792.29,0.0,13.311696661721701,0.05943585932031491,-206.2547303036581,250.04828822458194,0.18085579026286158,13.311696661721701,6790.69970703125,live,,,,,none,False
2026-03-08T21:49:57.602175+00:00,EWJ6 C7300,FOP,ES,2026-04-30,C,7300.0,2.0,2135.17,15.39463235,1539.46,-2730.88,0.0,9.845127976172511,0.047204813382432785,-116.30390119638605,484.6068809654753,0.1384067447112148,9.845127976172511,6790.69970703125,live,,,,,none,False
